8A(7J),0.5,0.5
77(7J)r,0.333333333333,0.333333333333,0.333333333333
8A9(7J)rc(),0.333333333333,0.333333333333,0.333333333333
77Q(7J)rc()c,0.333333333333,0.333333333333,0.333333333333
8A9(7J)rc()cr,0.333333333333,0.333333333333,0.333333333333
77Q(7J)rc()crr,0.5,0.5
77Q(7J)rc()r,0.333333333333,0.333333333333,0.333333333333
8A9(7J)rc()rr,0.5,0.5
8A(7J)rr,0.5,0.5
8A9(7J)rrc(),0.333333333333,0.333333333333,0.333333333333
77Q(7J)rrc()c,0.333333333333,0.333333333333,0.333333333333
8A9(7J)rrc()cr,0.333333333333,0.333333333333,0.333333333333
77Q(7J)rrc()crr,0.5,0.5
77Q(7J)rrc()r,0.333333333333,0.333333333333,0.333333333333
8A9(7J)rrc()rr,0.5,0.5
6T(35),0.5,0.5
8K(35)r,0.333333333333,0.333333333333,0.333333333333
6TT(35)rc(),0.333333333333,0.333333333333,0.333333333333
8K3(35)rc()c,0.333333333333,0.333333333333,0.333333333333
6TT(35)rc()cr,0.333333333333,0.333333333333,0.333333333333
8K3(35)rc()crr,0.5,0.5
8K3(35)rc()r,0.333333333333,0.333333333333,0.333333333333
6TT(35)rc()rr,0.5,0.5
6T(35)rr,0.5,0.5
6TT(35)rrc(),0.333333333333,0.333333333333,0.333333333333
8K3(35)rrc()c,0.333333333333,0.333333333333,0.333333333333
6TT(35)rrc()cr,0.333333333333,0.333333333333,0.333333333333
8K3(35)rrc()crr,0.5,0.5
8K3(35)rrc()r,0.333333333333,0.333333333333,0.333333333333
6TT(35)rrc()rr,0.5,0.5
43(Q7),0.5,0.5
4A(Q7)r,0.333333333333,0.333333333333,0.333333333333
43K(Q7)rc(),0.333333333333,0.333333333333,0.333333333333
4AJ(Q7)rc()c,0.333333333333,0.333333333333,0.333333333333
43K(Q7)rc()cr,0.333333333333,0.333333333333,0.333333333333
4AJ(Q7)rc()crr,0.5,0.5
4AJ(Q7)rc()r,0.333333333333,0.333333333333,0.333333333333
43K(Q7)rc()rr,0.5,0.5
43(Q7)rr,0.5,0.5
43K(Q7)rrc(),0.333333333333,0.333333333333,0.333333333333
4AJ(Q7)rrc()c,0.333333333333,0.333333333333,0.333333333333
43K(Q7)rrc()cr,0.333333333333,0.333333333333,0.333333333333
4AJ(Q7)rrc()crr,0.5,0.5
4AJ(Q7)rrc()r,0.333333333333,0.333333333333,0.333333333333
43K(Q7)rrc()rr,0.5,0.5
89(AK),0.5,0.5
K2(AK)r,0.333333333333,0.333333333333,0.333333333333
895(AK)rc(),0.333333333333,0.333333333333,0.333333333333
K29(AK)rc()c,0.333333333333,0.333333333333,0.333333333333
895(AK)rc()cr,0.333333333333,0.333333333333,0.333333333333
K29(AK)rc()crr,0.5,0.5
K29(AK)rc()r,0.333333333333,0.333333333333,0.333333333333
895(AK)rc()rr,0.5,0.5
89(AK)rr,0.5,0.5
895(AK)rrc(),0.333333333333,0.333333333333,0.333333333333
K29(AK)rrc()c,0.333333333333,0.333333333333,0.333333333333
895(AK)rrc()cr,0.333333333333,0.333333333333,0.333333333333
K29(AK)rrc()crr,0.5,0.5
K29(AK)rrc()r,0.333333333333,0.333333333333,0.333333333333
895(AK)rrc()rr,0.5,0.5
